,classification_id,user_id,workflow_id,annotations,subject_ids,original_annotations
110,389082855,2410044,20494,extended,71287250, extended towards north
111,389083044,2410044,20494,compact core,71287167,compact core
112,389083044,2410044,20494,jets,71287167, two jets
113,389083176,2410044,20494,component,71287276,three-component
114,389083176,2410044,20494,elongated,71287276, elongated
115,389083334,2410044,20494,component,71287290,two-component
116,389083334,2410044,20494,elongated structure,71287290, elongated structure west
117,389083415,2410044,20494,marginal detection,71287099,marginal detection
118,389291640,2410044,20494,double component,71287257,double-component
119,389291640,2410044,20494,elongated,71287257, elongated
120,389291656,2410044,20494,compact,71287120,compact
121,389291656,2410044,20494,roundish,71287120, roundish
122,389291732,2410044,20494,core,71287014,core
123,389291732,2410044,20494,extensions,71287014, two extensions
124,389291755,2410044,20494,diffuse,71287214,diffuse
125,389291755,2410044,20494,blobby,71287214, blobby
126,389291794,2410044,20494,compact,71287141,compact
127,389291794,2410044,20494,strong core,71287141, strong core
128,389291794,2410044,20494,extension,71287141, extension to the west
129,389291831,2410044,20494,compact core,71287096,compact core
130,389291831,2410044,20494,extension,71287096, extension to the west
131,389298218,2410044,20494,diffuse,71287249,diffuse
132,389298218,2410044,20494,triangular shape,71287249, triangular shape
133,389298253,2410044,20494,compact,71287128,compact
134,389298253,2410044,20494,roundish,71287128, roundish
135,389298299,2410044,20494,component,71287280,two-component
136,389298299,2410044,20494,s shaped,71287280, s-shaped
137,389341921,2410044,20494,compact core,71287013,compact core
138,389341921,2410044,20494,extended southwest,71287013, extended towards southwest
139,389342026,2410044,20494,core,71287118,core
140,389342026,2410044,20494,jets,71287118, two jets
141,389342026,2410044,20494,symmetrical,71287118, symmetrical
142,389342063,2410044,20494,compact,71287018,compact
143,389342063,2410044,20494,marginal detection,71287018, marginal detection
144,389342108,2410044,20494,diffuse,71287052,diffuse
145,389342108,2410044,20494,extended,71287052, extended
146,389342108,2410044,20494,blobby,71287052, blobby
147,389609721,2410044,20494,compact,71287235,compact
148,389609721,2410044,20494,counterpart extended,71287235, counterpart extended
149,389609868,2410044,20494,face disk,71287089,face-on disk
150,389609868,2410044,20494,patchy,71287089, patchy emission
151,389609931,2410044,20494,compact,71287036,compact
152,389609931,2410044,20494,roundish,71287036, roundish
153,389610026,2410044,20494,component,71287295,two-component
154,389610026,2410044,20494,elongated,71287295, elongated
155,389610121,2410044,20494,compact,71287159,compact
156,389610121,2410044,20494,roundish,71287159, roundish
157,389610121,2410044,20494,extended counterpart,71287159, extended counterpart
158,389610237,2410044,20494,core visible,71287271,core visible
159,389610237,2410044,20494,components,71287271, two-componens
160,389610292,2410044,20494,elongated,71287109,elongated
161,389610292,2410044,20494,marginal detection,71287109, marginal detection
162,389610693,2410044,20494,core visible,71287291,core visible
163,389610693,2410044,20494,component,71287291, two-component
164,389610822,2410044,20494,diffuse,71287047,diffuse
165,389610822,2410044,20494,irregular shape,71287047, irregular shape
166,389610966,2410044,20494,compact,71287140,compact
167,389610966,2410044,20494,marginal detection,71287140, marginal detection
168,389611167,2410044,20494,l shaped,71287085,l-shaped emission
169,389612243,2410044,20494,compact,71287135,compact
170,389612243,2410044,20494,slightly extended,71287135, slightly extended west
171,389612316,2410044,20494,elongated,71287192,elongated
172,389612401,2410044,20494,compact,71287252,compact
173,389612401,2410044,20494,slightly extended southeast,71287252, slightly extended towards southeast
174,389612516,2410044,20494,compact component,71287294,compact component
175,389612516,2410044,20494,patchy,71287294, patchy emission around
176,389623563,2410044,20494,extended,71287152,extended
177,389623563,2410044,20494,v shaped,71287152, v-shaped
178,389623633,2410044,20494,jets,71287067,two jets
179,389623633,2410044,20494,compact core visible,71287067, compact core not visible
180,389623659,2410044,20494,compact,71287149,compact
181,389623659,2410044,20494,roundish,71287149, roundish
182,389623717,2410044,20494,compact,71287008,compact
183,389623717,2410044,20494,extension,71287008, extension towards south
184,389623787,2410044,20494,diffuse,71287222,diffuse
185,389623787,2410044,20494,irregular shape,71287222, irregular shape
186,389624311,2410044,20494,compact,71287265,compact
187,389624311,2410044,20494,extended counterpart,71287265, extended counterpart
188,389624359,2410044,20494,component,71287073,two-component
189,389624359,2410044,20494,elongated,71287073, elongated
190,389624422,2410044,20494,jet,71287043,jet emission
191,389624422,2410044,20494,western,71287043, western part of another source
192,389626461,2410044,20494,compact,71287012,compact
193,389626461,2410044,20494,slightly extended,71287012, slightly extended north
194,389626578,2410044,20494,elongated,71287027,elongated
195,389626578,2410044,20494,diffuse,71287027, diffuse
196,389626613,2410044,20494,compact,71287275,compact
197,389626613,2410044,20494,elliptical,71287275, elliptical
198,389627265,2410044,20494,component,71287032,two-component
199,389627265,2410044,20494,jet,71287032, jet-like emission
200,389627324,2410044,20494,component,71287185,two-component
201,389627422,2410044,20494,component,71287107,two-component
203,389627493,2410044,20494,compact roundish,71287038,compact roundish
204,389627542,2410044,20494,compact,71287148,compact
205,389627542,2410044,20494,slightly elongated,71287148, slightly elongated
206,389627704,2410044,20494,elongated,71287261,elongated
207,389627704,2410044,20494,boxy,71287261, boxy
208,389627740,2410044,20494,compact,71287116,compact
209,389627740,2410044,20494,extended counterpart,71287116, extended counterpart
210,390083375,2003327,20494,extended,71287143,extended
211,390083375,2003327,20494,elongated,71287143, elongated
212,390083375,2003327,20494,bent,71287143, bent
213,390083553,2003327,20494,double,71287221,double
214,390083553,2003327,20494,compact,71287221, compact
215,390083641,2003327,20494,diffuse,71287115,diffuse
216,390084035,2003327,20494,compact,71287285,compact
217,390084035,2003327,20494,elongated,71287285, elongated
218,390084371,2003327,20494,compact,71287005,compact
219,390084371,2003327,20494,diffuse,71287005, diffuse
220,390084524,2003327,20494,double lobe,71287242,double lobe
221,390084524,2003327,20494,compact,71287242, compact
222,390084645,2003327,20494,faint,71287069,faint
223,390084725,2003327,20494,compact,71287086,compact
224,390084725,2003327,20494,single,71287086, single
225,390084812,2003327,20494,extended,71287225,extended
226,390084812,2003327,20494,triple,71287225, triple
227,390084812,2003327,20494,lobe,71287225, three lobe
228,390084884,2003327,20494,extended,71287106,extended
229,390084884,2003327,20494,single,71287106, single
230,390084884,2003327,20494,compact,71287106, compact
231,390084884,2003327,20494,diffuse,71287106, diffuse
232,390085028,2003327,20494,single,71287035,single
233,390085028,2003327,20494,elongated,71287035, elongated
234,390085090,2003327,20494,double,71287104,double
235,390085090,2003327,20494,lobe,71287104, two lobe
236,390085090,2003327,20494,extended,71287104, extended
237,390085337,2003327,20494,extended,71287200,extended
238,390085337,2003327,20494,lobe,71287200, two lobe
239,390085337,2003327,20494,faint,71287200, faint
240,390085382,2003327,20494,extended,71287004,extended
241,390085382,2003327,20494,lobe,71287004, two lobe
242,390085382,2003327,20494,double,71287004, double
243,390085382,2003327,20494,elongated,71287004, elongated
244,390085432,2003327,20494,single,71287275,single
245,390085432,2003327,20494,elongated,71287275, elongated
246,390085544,2003327,20494,extended,71287037,extended
247,390085544,2003327,20494,lobe,71287037, two lobe
248,390085544,2003327,20494,double,71287037, double
249,390085544,2003327,20494,faint,71287037, faint
250,390085625,2003327,20494,single,71287174,single
251,390085625,2003327,20494,extended,71287174, extended
252,390085743,2003327,20494,triple,71287065,triple
253,390085743,2003327,20494,lobe,71287065, three lobe
254,390085743,2003327,20494,extended,71287065, extended
255,390085743,2003327,20494,faint,71287065, faint
256,390085791,2003327,20494,single,71287007,single
257,390085791,2003327,20494,compact,71287007, compact
258,390085972,2003327,20494,double,71287063,double
259,390085972,2003327,20494,lobe,71287063, two lobe
260,390085972,2003327,20494,extended,71287063, extended
261,390085972,2003327,20494,faint,71287063, faint
262,390086023,2003327,20494,single,71287024,single
263,390086023,2003327,20494,compact,71287024, compact
264,390086145,2003327,20494,triple,71287193,triple
265,390086145,2003327,20494,lobe,71287193, three lobe
266,390086145,2003327,20494,extended,71287193, extended
267,390086145,2003327,20494,elongated,71287193, elongated
268,390086145,2003327,20494,bent,71287193, bent
269,390086213,2003327,20494,triple,71287209,triple
270,390086213,2003327,20494,lobe,71287209, three lobe
271,390086213,2003327,20494,extended,71287209, extended
272,390086213,2003327,20494,faint,71287209, faint
273,390086297,2003327,20494,faint,71287119,faint
274,390086297,2003327,20494,single,71287119, single
275,390086297,2003327,20494,elongated,71287119, elongated
276,390086383,2003327,20494,single,71287249,single
277,390086383,2003327,20494,elongated,71287249, elongated
278,390086744,2003327,20494,lobe,71287087,two lobe
279,390086744,2003327,20494,double,71287087, double
280,390086744,2003327,20494,faint,71287087, faint
281,390086782,2003327,20494,single,71287273,single
282,390086782,2003327,20494,compact,71287273, compact
283,390086906,2003327,20494,single,71287178,single
284,390086906,2003327,20494,extended,71287178, extended
285,390086906,2003327,20494,diffuse,71287178, diffuse
286,390087190,2003327,20494,double,71287081,double
287,390087190,2003327,20494,lobe,71287081, two lobe
288,390087190,2003327,20494,extended,71287081, extended
289,390087190,2003327,20494,elongated,71287081, elongated
290,390087231,2003327,20494,extended,71287133,extended
291,390087231,2003327,20494,elongated,71287133, elongated
292,390087231,2003327,20494,diffuse,71287133, diffuse
293,390087314,2003327,20494,single,71287231,single
294,390087314,2003327,20494,extended,71287231, extended
295,390087314,2003327,20494,elongated,71287231, elongated
296,390087369,2003327,20494,single,71287256,single
297,390087369,2003327,20494,elongated,71287256, elongated
298,390087369,2003327,20494,bent,71287256, bent
299,390087400,2003327,20494,single,71287148,single
300,390087400,2003327,20494,compact,71287148, compact
301,390087491,2003327,20494,single,71287255,single
302,390087491,2003327,20494,elongated,71287255, elongated
303,390087532,2003327,20494,single,71287206,single
304,390087532,2003327,20494,elongated,71287206, elongated
305,390087571,2003327,20494,single,71287057,single
306,390087571,2003327,20494,faint,71287057, faint
307,390087571,2003327,20494,amorphous,71287057, amorphous
308,390087703,2003327,20494,faint,71287140,faint
309,390087941,2003327,20494,single,71287079,single
310,390087941,2003327,20494,elongated,71287079, elongated
311,390088069,2003327,20494,single,71287041,single
312,390088069,2003327,20494,extended,71287041, extended
313,390088069,2003327,20494,bent,71287041, bent
314,390088537,2003327,20494,single,71287296,single
315,390088537,2003327,20494,elongated,71287296, elongated
316,390088717,2003327,20494,double,71287268,double
317,390088717,2003327,20494,lobe,71287268, two lobe
318,390088717,2003327,20494,extended,71287268, extended
319,390088717,2003327,20494,diffuse,71287268, diffuse
320,390088757,2003327,20494,single,71287182,single
321,390088757,2003327,20494,elongated,71287182, elongated
322,390088757,2003327,20494,faint,71287182, faint
323,390088795,2003327,20494,single,71287204,single
324,390088795,2003327,20494,elongated,71287204, elongated
325,390088795,2003327,20494,diffuse,71287204, diffuse
326,390088825,2003327,20494,single,71287180,single
327,390088825,2003327,20494,faint,71287180, faint
328,390088853,2003327,20494,single,71287261,single
329,390088853,2003327,20494,elongated,71287261, elongated
330,390088853,2003327,20494,amorphous,71287261, amorphous
331,390088942,2003327,20494,triple,71287105,triple
332,390088942,2003327,20494,lobe,71287105, three lobe
333,390088942,2003327,20494,extended,71287105, extended
334,390088942,2003327,20494,elongated,71287105, elongated
335,390088942,2003327,20494,diffuse,71287105, diffuse
336,390089006,2003327,20494,double,71287066,double
337,390089006,2003327,20494,lobe,71287066, two lobe
338,390089006,2003327,20494,compact,71287066, compact
339,390089006,2003327,20494,elongated,71287066, elongated
340,390089039,2003327,20494,single,71287094,single
341,390089039,2003327,20494,compact,71287094, compact
342,390089039,2003327,20494,faint,71287094, faint
343,390089073,2003327,20494,single,71287021,single
344,390089073,2003327,20494,compact,71287021, compact
345,390089073,2003327,20494,elongated,71287021, elongated
346,390089135,2003327,20494,single,71287274,single
347,390089135,2003327,20494,compact,71287274, compact
348,390089135,2003327,20494,extended,71287274, extended
349,390089155,2003327,20494,single,71287159,single
350,390089155,2003327,20494,compact,71287159, compact
351,390089174,2003327,20494,single,71287129,single
352,390089174,2003327,20494,faint,71287129, faint
353,390089194,2003327,20494,single,71287243,single
354,390089194,2003327,20494,compact,71287243, compact
355,390089194,2003327,20494,faint,71287243, faint
356,390089230,2003327,20494,single,71287027,single
357,390089230,2003327,20494,extended,71287027, extended
358,390089230,2003327,20494,diffuse,71287027, diffuse
359,390089230,2003327,20494,faint,71287027, faint
360,390089304,2003327,20494,double,71287020,double
361,390089304,2003327,20494,lobe,71287020, two lobe
362,390089304,2003327,20494,extended,71287020, extended
363,390089304,2003327,20494,diffuse,71287020, diffuse
364,390089362,2003327,20494,double,71287055,double
365,390089362,2003327,20494,lobe,71287055, two lobe
366,390089362,2003327,20494,extended,71287055, extended
367,390089362,2003327,20494,faint,71287055, faint
368,390089434,2003327,20494,double,71287001,double
369,390089434,2003327,20494,lobe,71287001, two lobe
370,390089434,2003327,20494,extended,71287001, extended
371,390089434,2003327,20494,elongated,71287001, elongated
372,390089434,2003327,20494,diffuse,71287001, diffuse
373,390089434,2003327,20494,amorphous,71287001, amorphous
374,390089507,2003327,20494,single,71287269,single
375,390089507,2003327,20494,elongated,71287269, elongated
376,390089507,2003327,20494,extended,71287269, extended
377,390089589,2003327,20494,single,71287110,single
378,390089589,2003327,20494,extended,71287110, extended
379,390089589,2003327,20494,missing data,71287110, missing data
380,390089838,2003327,20494,double,71287190,double
381,390089838,2003327,20494,lobe,71287190, two lobe
382,390089838,2003327,20494,extended,71287190, extended
383,390089838,2003327,20494,elongated,71287190, elongated
384,390089870,2003327,20494,single,71287127,single
385,390089870,2003327,20494,compact,71287127, compact
386,390089897,2003327,20494,single,71287245,single
387,390089897,2003327,20494,compact,71287245, compact
388,390089897,2003327,20494,faint,71287245, faint
389,390090185,2003327,20494,single,71287072,single
390,390090185,2003327,20494,elongated,71287072, elongated
391,390090185,2003327,20494,faint,71287072, faint
392,390090221,2003327,20494,double,71287263,double
393,390090221,2003327,20494,lobe,71287263, two lobe
394,390090221,2003327,20494,extended,71287263, extended
395,390090221,2003327,20494,elongated,71287263, elongated
396,390090289,2003327,20494,single,71287030,single
397,390090289,2003327,20494,extended,71287030, extended
398,390090289,2003327,20494,faint,71287030, faint
399,390090335,2003327,20494,single,71287040,single
400,390090335,2003327,20494,extended,71287040, extended
401,390090335,2003327,20494,amorphous,71287040, amorphous
402,390090501,2003327,20494,double,71287029,double
403,390090501,2003327,20494,lobe,71287029, two lobe
404,390090501,2003327,20494,extended,71287029, extended
405,390090501,2003327,20494,elongated,71287029, elongated
406,390090619,2003327,20494,double,71287164,double
407,390090619,2003327,20494,lobe,71287164, two lobe
408,390090619,2003327,20494,extended,71287164, extended
409,390090619,2003327,20494,compact,71287164, compact
410,390090619,2003327,20494,faint,71287164, faint
411,390090741,2003327,20494,triple,71287090,triple
412,390090741,2003327,20494,lobe,71287090, three lobe
413,390090741,2003327,20494,extended,71287090, extended
414,390090741,2003327,20494,elongated,71287090, elongated
415,390090741,2003327,20494,compact,71287090, compact
416,390090838,2003327,20494,single,71287262,single
417,390090838,2003327,20494,elongated,71287262, elongated
418,390090908,2003327,20494,triple,71287014,triple
419,390090908,2003327,20494,lobe,71287014, three lobe
420,390090908,2003327,20494,extended,71287014, extended
421,390090908,2003327,20494,faint,71287014, faint
422,390091022,2003327,20494,single,71287211,single
423,390091022,2003327,20494,elongated,71287211, elongated
424,390091022,2003327,20494,extended,71287211, extended
425,390091022,2003327,20494,diffuse,71287211, diffuse
426,390091132,2003327,20494,triple,71287093,triple
427,390091132,2003327,20494,lobe,71287093, three lobe
428,390091132,2003327,20494,extended,71287093, extended
429,390091132,2003327,20494,elongated,71287093, elongated
430,390091132,2003327,20494,compact,71287093, compact
431,390091132,2003327,20494,missing data,71287093, missing data
432,390091214,2003327,20494,single,71287282,single
433,390091214,2003327,20494,elongated,71287282, elongated
434,390091214,2003327,20494,faint,71287282, faint
435,390091292,2003327,20494,triple,71287284,triple
436,390091292,2003327,20494,lobe,71287284, three lobe
437,390091292,2003327,20494,extended,71287284, extended
438,390091292,2003327,20494,elongated,71287284, elongated
439,390091292,2003327,20494,faint,71287284, faint
440,390091292,2003327,20494,amorphous,71287284, amorphous
441,390091349,2003327,20494,double,71287099,double
442,390091349,2003327,20494,lobe,71287099, two lobe
443,390091349,2003327,20494,elongated,71287099, elongated
444,390091349,2003327,20494,faint,71287099, faint
445,390091377,2003327,20494,single,71287026,single
446,390091377,2003327,20494,faint,71287026, faint
447,390091432,2003327,20494,single,71287205,single
448,390091432,2003327,20494,elongated,71287205, elongated
449,390091432,2003327,20494,faint,71287205, faint
450,390091711,2003327,20494,triple,71287281,triple
451,390091711,2003327,20494,lobe,71287281, three lobe
452,390091711,2003327,20494,extended,71287281, extended
453,390091711,2003327,20494,elongated,71287281, elongated
454,390091711,2003327,20494,continues offscreen,71287281, continues offscreen
455,390091990,2003327,20494,double,71287161,double
456,390091990,2003327,20494,lobe,71287161, two lobe
457,390091990,2003327,20494,extended,71287161, extended
458,390091990,2003327,20494,amorphous,71287161, amorphous
459,390092024,2003327,20494,double,71287042,double
460,390092024,2003327,20494,lobe,71287042, two lobe
461,390092024,2003327,20494,extended,71287042, extended
462,390092024,2003327,20494,continues offscreen,71287042, continues offscreen
463,390092051,2003327,20494,single,71287232,single
464,390092051,2003327,20494,faint,71287232, faint
465,390092097,2003327,20494,single,71287150,single
466,390092097,2003327,20494,faint,71287150, faint
467,390092115,2003327,20494,single,71287260,single
468,390092115,2003327,20494,elongated,71287260, elongated
469,390092115,2003327,20494,faint,71287260, faint
470,390092248,2003327,20494,single,71287177,single
471,390092248,2003327,20494,elongated,71287177, elongated
472,390092248,2003327,20494,bent,71287177, bent
473,390092248,2003327,20494,tailed,71287177, tailed
474,390092504,2003327,20494,double,71287080,double
475,390092504,2003327,20494,lobe,71287080, two lobe
476,390092504,2003327,20494,extended,71287080, extended
477,390092504,2003327,20494,elongated,71287080, elongated
478,390092518,2003327,20494,single,71287128,single
479,390092518,2003327,20494,compact,71287128, compact
480,390092556,2003327,20494,single,71287283,single
481,390092556,2003327,20494,elongated,71287283, elongated
482,390092556,2003327,20494,faint,71287283, faint
483,390092644,2003327,20494,double,71287022,double
484,390092644,2003327,20494,lobe,71287022, two lobe
485,390092644,2003327,20494,extended,71287022, extended
486,390092644,2003327,20494,elongated,71287022, elongated
487,390092644,2003327,20494,diffuse,71287022, diffuse
488,390092644,2003327,20494,amorphous,71287022, amorphous
489,390092644,2003327,20494,continues offscreen,71287022, continues offscreen
490,390092697,2003327,20494,single,71287049,single
491,390092697,2003327,20494,elongated,71287049, elongated
492,390092697,2003327,20494,faint,71287049, faint
493,390092723,2003327,20494,double,71287238,double
494,390092723,2003327,20494,extended,71287238, extended
495,390092723,2003327,20494,compact,71287238, compact
496,390092723,2003327,20494,faint,71287238, faint
497,390092765,2003327,20494,double,71287013,double
498,390092765,2003327,20494,extended,71287013, extended
499,390092765,2003327,20494,compact,71287013, compact
500,390092765,2003327,20494,faint,71287013, faint
501,390092791,2003327,20494,double,71287215,double
502,390092791,2003327,20494,extended,71287215, extended
503,390092791,2003327,20494,elongated,71287215, elongated
504,390092791,2003327,20494,faint,71287215, faint
505,390092825,2003327,20494,double,71287088,double
506,390092825,2003327,20494,extended,71287088, extended
507,390092825,2003327,20494,compact,71287088, compact
508,390092825,2003327,20494,faint,71287088, faint
509,390092853,2003327,20494,single,71287083,single
510,390092853,2003327,20494,extended,71287083, extended
511,390092853,2003327,20494,elongated,71287083, elongated
512,390092853,2003327,20494,diffuse,71287083, diffuse
513,390092853,2003327,20494,amorphous,71287083, amorphous
514,390092880,2003327,20494,single,71287160,single
515,390092880,2003327,20494,elongated,71287160, elongated
516,390092880,2003327,20494,faint,71287160, faint
517,390092908,2003327,20494,single,71287060,single
518,390092908,2003327,20494,elongated,71287060, elongated
519,390092958,2003327,20494,triple,71287246,triple
520,390092958,2003327,20494,lobe,71287246, three lobe
521,390092958,2003327,20494,extended,71287246, extended
522,390092958,2003327,20494,elongated,71287246, elongated
523,390092958,2003327,20494,bent,71287246, bent
524,390092958,2003327,20494,faint,71287246, faint
525,390092977,2003327,20494,double,71287051,double
526,390092977,2003327,20494,lobe,71287051, two lobe
527,390092977,2003327,20494,extended,71287051, extended
528,390092977,2003327,20494,compact,71287051, compact
529,390093034,2003327,20494,single,71287254,single
530,390093034,2003327,20494,elongated,71287254, elongated
531,390093034,2003327,20494,extended,71287254, extended
532,390093034,2003327,20494,diffuse,71287254, diffuse
533,390093053,2003327,20494,single,71287071,single
534,390093053,2003327,20494,compact,71287071, compact
535,390093121,2003327,20494,double,71287142,double
536,390093121,2003327,20494,lobe,71287142, two lobe
537,390093121,2003327,20494,extended,71287142, extended
538,390093121,2003327,20494,elongated,71287142, elongated
539,390093121,2003327,20494,diffuse,71287142, diffuse
540,390093143,2003327,20494,single,71287018,single
541,390093143,2003327,20494,compact,71287018, compact
542,390093143,2003327,20494,faint,71287018, faint
543,390093180,2003327,20494,single,71287103,single
544,390093180,2003327,20494,elongated,71287103, elongated
545,390093262,2003327,20494,single,71287138,single
546,390093262,2003327,20494,extended,71287138, extended
547,390093262,2003327,20494,elongated,71287138, elongated
548,390093262,2003327,20494,diffuse,71287138, diffuse
549,388731325,2394958,20494,faint,71287293,faint
550,388731325,2394958,20494,slightly extended,71287293, slightly extended
551,388731325,2394958,20494,noisy,71287293, noisy
552,388731408,2394958,20494,compact,71287262,compact
553,388731408,2394958,20494,isolated,71287262, isolated
554,388731408,2394958,20494,clear counterpart,71287262, clear counterpart
555,388731529,2394958,20494,bright,71287072,bright
556,388731529,2394958,20494,slightly extended,71287072, slightly extended
557,388731529,2394958,20494,spiral counterpart,71287072, spiral galaxy counterpart
558,388731665,2394958,20494,extended,71287062,extended
559,388731665,2394958,20494,tail,71287062, tail
560,388731665,2394958,20494,possible lobes associated,71287062, possible lobes associated
561,388731753,2394958,20494,bright,71287083,bright
562,388731753,2394958,20494,complex,71287083, complex
563,388731753,2394958,20494,extended,71287083, extended
564,388731753,2394958,20494,counterpart,71287083, no counterpart
565,388731968,2394958,20494,bright,71287230,bright
566,388731968,2394958,20494,lobe adjacent,71287230, lobe of adjacent source
567,388731968,2394958,20494,jets,71287230, jets
568,388731968,2394958,20494,lobes,71287230, lobes
569,388731968,2394958,20494,counterpart,71287230, no counterpart
570,388732047,2394958,20494,lobe adjacent,71287228,lobe of adjacent source
571,388732047,2394958,20494,complex,71287228, complex
572,388732047,2394958,20494,extended,71287228, extended
